fitness_avg,fitness_std,fitness_min,fitness_max,fitness_iteration,fitness_containerSize,fitness_evals,fitness_nbUpdated,fitness_elapsed,size_avg,size_std,size_min,size_max,size_iteration,size_containerSize,size_evals,size_nbUpdated,size_elapsed,complexity_avg,complexity_std,complexity_min,complexity_max,complexity_iteration,complexity_containerSize,complexity_evals,complexity_nbUpdated,complexity_elapsed,iteration,containerSize,evals,nbUpdated,elapsed
-7976.732611563323,59418.146290273406,-500000.0,98.78624064613454,10,566/2500,290,160,2.672137327026576,1.0,0.0,1,1,10,566/2500,290,160,2.672137327026576,52.6077738515901,27.50454269563218,1,111,10,566/2500,290,160,2.672137327026576,10,566/2500,290,160,2.672137327026576
-6900.449225104324,55127.40524242262,-500000.0,98.78624064613454,11,578/2500,280,175,2.3549029529094696,1.0,0.0,1,1,11,578/2500,280,175,2.3549029529094696,52.897923875432525,27.37832400727795,1,111,11,578/2500,280,175,2.3549029529094696,11,578/2500,280,175,2.3549029529094696
-7556.706237235218,58174.64000492654,-500000.0,98.78624064613454,12,591/2500,278,174,2.2529387339018285,1.0,0.0,1,1,12,591/2500,278,174,2.2529387339018285,53.10321489001692,27.44157626864387,1,107,12,591/2500,278,174,2.2529387339018285,12,591/2500,278,174,2.2529387339018285
-6721.836272596513,54666.934714482944,-500000.0,98.78624064613454,13,588/2500,291,179,2.200112648308277,1.0,0.0,1,1,13,588/2500,291,179,2.200112648308277,53.14115646258504,27.477426852194444,1,111,13,588/2500,291,179,2.200112648308277,13,588/2500,291,179,2.200112648308277
-7386.390354304811,57842.75686146875,-500000.0,98.78624064613454,14,598/2500,286,181,2.0834848880767822,1.0,0.0,1,1,14,598/2500,286,181,2.0834848880767822,53.31605351170568,27.519687871515394,1,114,14,598/2500,286,181,2.0834848880767822,14,598/2500,286,181,2.0834848880767822
-4799.066740792913,45768.36462415999,-500000.0,98.78624064613454,15,606/2500,287,185,1.9956764290109277,1.0,0.0,1,1,15,606/2500,287,185,1.9956764290109277,53.25082508250825,27.372080961281004,1,111,15,606/2500,287,185,1.9956764290109277,15,606/2500,287,185,1.9956764290109277
-4609.055252019685,45458.38822084109,-500000.0,98.78624064613454,16,609/2500,281,162,2.024672229308635,1.0,0.0,1,1,16,609/2500,281,162,2.024672229308635,53.46469622331691,27.57999236044675,1,122,16,609/2500,281,162,2.024672229308635,16,609/2500,281,162,2.024672229308635
-4616.403283984359,45322.37248326801,-500000.0,98.78624064613454,17,613/2500,292,141,2.147663578391075,1.0,0.0,1,1,17,613/2500,292,141,2.147663578391075,53.53017944535073,27.67029996754758,1,122,17,613/2500,292,141,2.147663578391075,17,613/2500,292,141,2.147663578391075
-5333.933824697285,49329.0869998276,-500000.0,98.78624064613454,18,618/2500,289,144,2.136504632886499,1.0,0.0,1,1,18,618/2500,289,144,2.136504632886499,54.03559870550162,27.76086092683066,1,122,18,618/2500,289,144,2.136504632886499,18,618/2500,289,144,2.136504632886499
-3766.660586522379,40515.587270399876,-500000.0,98.78624064613454,19,618/2500,281,149,2.1240783859975636,1.0,0.0,1,1,19,618/2500,281,149,2.1240783859975636,53.95631067961165,27.654766625904685,1,122,19,618/2500,281,149,2.1240783859975636,19,618/2500,281,149,2.1240783859975636
-3523.565666785357,40141.98440306313,-500000.0,98.78624064613454,20,623/2500,287,139,2.3196718879044056,1.0,0.0,1,1,20,623/2500,287,139,2.3196718879044056,54.192616372391655,27.786877685073826,1,124,20,623/2500,287,139,2.3196718879044056,20,623/2500,287,139,2.3196718879044056
